G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
13,2022-11-11,22-360,PHO,W (+17),,Bol Bol  ,ORL,1.0,30.9,5.0,8.0,3.0,3.0,0.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,3.0,1.0,13.0,15.0,0.813,0.813,0.0,44.8,26.5,4.4,0.0,0.0,27.3,16.8,109.0,95.0,11.2,2.5
14,2022-11-14,22-363,CHO,L (-7),,Bol Bol  ,ORL,1.0,30.7,5.0,13.0,2.0,6.0,2.0,2.0,3.0,6.0,9.0,2.0,0.0,2.0,6.0,1.0,14.0,-14.0,0.504,0.462,10.4,23.5,16.6,11.1,0.0,5.9,30.2,25.9,87.0,118.0,7.2,-6.6
15,2022-11-16,23-000,MIN,L (-18),,Bol Bol  ,ORL,1.0,34.75,12.0,21.0,0.0,4.0,2.0,2.0,3.0,9.0,12.0,1.0,1.0,3.0,4.0,2.0,26.0,-22.0,0.594,0.571,9.4,28.9,19.1,5.4,1.4,8.0,15.5,30.7,106.0,118.0,19.9,1.2
16,2022-11-18,23-002,CHI,W (+1),@,Bol Bol  ,ORL,1.0,30.583333333333332,6.0,10.0,0.0,0.0,3.0,3.0,2.0,8.0,10.0,0.0,0.0,2.0,0.0,2.0,15.0,1.0,0.663,0.6,8.0,26.2,18.0,0.0,0.0,4.6,0.0,17.3,139.0,108.0,14.8,1.7
17,2022-11-19,23-003,IND,L (-1),@,Bol Bol  ,ORL,1.0,33.63333333333333,9.0,15.0,2.0,3.0,2.0,4.0,3.0,8.0,11.0,0.0,0.0,2.0,0.0,1.0,22.0,3.0,0.656,0.667,10.4,27.2,18.9,0.0,0.0,6.5,0.0,21.5,142.0,116.0,19.8,4.7
18,2022-11-21,23-005,IND,L (-21),@,Bol Bol  ,ORL,1.0,27.2,4.0,11.0,0.0,1.0,1.0,2.0,1.0,8.0,9.0,2.0,0.0,0.0,4.0,2.0,9.0,-14.0,0.379,0.364,3.7,37.2,18.5,12.2,0.0,0.0,25.2,24.8,67.0,120.0,2.2,-13.4
19,2022-11-25,23-009,PHI,L (-8),,Bol Bol  ,ORL,1.0,35.016666666666666,8.0,14.0,1.0,3.0,1.0,2.0,2.0,6.0,8.0,2.0,1.0,4.0,0.0,1.0,18.0,-7.0,0.605,0.607,6.4,21.1,13.4,11.9,1.5,11.9,0.0,19.3,129.0,110.0,19.0,8.2
20,2022-11-27,23-011,PHI,L (-30),,Bol Bol  ,ORL,1.0,32.43333333333333,3.0,6.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,3.0,2.0,2.0,4.0,0.0,6.0,-19.0,0.5,0.5,0.0,23.7,8.6,14.1,3.1,5.9,40.0,14.1,69.0,133.0,5.7,-6.4
1,2022-10-19,22-038,DEN,W (+21),,Leandro Bolmaro  ,UTA,0.0,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,-3.4
2,2022-10-28,22-047,DEN,L (-16),@,Leandro Bolmaro  ,UTA,0.0,15.3,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,16.0,0.333,0.333,6.4,0.0,3.3,18.0,0.0,6.5,25.0,11.6,81.0,130.0,0.9,-8.7
3,2022-11-07,22-057,LAL,W (+23),,Leandro Bolmaro  ,UTA,0.0,5.033333333333333,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,-2.0,0.25,0.25,0.0,0.0,0.0,0.0,18.4,0.0,20.0,40.2,43.0,80.0,0.2,-17.4
1,2022-10-19,25-354,DAL,W (+2),,Devin Booker  ,PHO,1.0,40.61666666666667,10.0,20.0,1.0,1.0,7.0,7.0,1.0,3.0,4.0,9.0,0.0,1.0,2.0,3.0,28.0,20.0,0.607,0.525,2.7,9.6,5.9,37.7,0.0,3.0,8.0,27.8,126.0,113.0,23.4,9.1
2,2022-10-21,25-356,POR,L (-2),@,Devin Booker  ,PHO,1.0,43.916666666666664,11.0,23.0,3.0,7.0,8.0,9.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,33.0,-2.0,0.612,0.543,0.0,13.4,6.8,12.2,1.2,0.0,6.9,29.3,117.0,114.0,23.1,5.9
3,2022-10-23,25-358,LAC,W (+17),@,Devin Booker  ,PHO,1.0,34.81666666666667,13.0,21.0,5.0,9.0,4.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,35.0,13.0,0.769,0.738,2.9,0.0,1.5,22.0,1.5,0.0,11.6,32.2,136.0,105.0,26.6,15.7
4,2022-10-25,25-360,GSW,W (+29),,Devin Booker  ,PHO,1.0,35.31666666666667,10.0,19.0,3.0,8.0,11.0,14.0,1.0,1.0,2.0,7.0,3.0,0.0,3.0,3.0,34.0,32.0,0.676,0.605,3.1,3.1,3.1,28.5,4.0,0.0,10.7,31.9,136.0,104.0,28.2,13.0
5,2022-10-28,25-363,NOP,W (+13),,Devin Booker  ,PHO,1.0,32.6,6.0,14.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,4.0,0.0,0.0,5.0,1.0,16.0,4.0,0.508,0.429,0.0,17.5,9.2,15.0,0.0,0.0,24.1,27.1,91.0,121.0,7.5,-11.4
6,2022-10-30,26-000,HOU,W (+15),,Devin Booker  ,PHO,1.0,35.4,14.0,24.0,1.0,7.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,2.0,30.0,11.0,0.592,0.604,3.2,6.3,4.8,31.3,1.4,0.0,3.8,33.0,124.0,122.0,22.7,3.6
7,2022-11-01,26-002,MIN,W (+9),,Devin Booker  ,PHO,1.0,30.433333333333334,6.0,18.0,2.0,7.0,4.0,5.0,1.0,6.0,7.0,5.0,0.0,1.0,2.0,5.0,18.0,11.0,0.446,0.389,4.0,25.6,14.5,25.0,0.0,3.0,9.0,32.5,96.0,112.0,10.1,-6.5
8,2022-11-04,26-005,POR,L (-2),,Devin Booker  ,PHO,1.0,38.36666666666667,8.0,21.0,3.0,7.0,6.0,6.0,0.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,25.0,3.0,0.529,0.452,0.0,16.9,7.7,24.1,1.3,2.0,17.5,32.8,99.0,115.0,14.0,-1.7
9,2022-11-05,26-006,POR,W (+20),,Devin Booker  ,PHO,1.0,29.166666666666668,9.0,20.0,2.0,7.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,24.0,19.0,0.551,0.5,3.8,8.0,5.9,24.5,1.7,5.1,4.4,34.6,116.0,88.0,17.6,9.8
10,2022-11-07,26-008,PHI,L (-12),@,Devin Booker  ,PHO,1.0,43.4,8.0,16.0,1.0,1.0,11.0,14.0,2.0,5.0,7.0,5.0,1.0,0.0,6.0,2.0,28.0,-9.0,0.632,0.531,5.7,12.0,9.1,23.9,1.2,0.0,21.3,32.6,107.0,115.0,19.4,3.3
11,2022-11-09,26-010,MIN,W (+12),@,Devin Booker  ,PHO,1.0,38.166666666666664,12.0,23.0,5.0,7.0,3.0,3.0,0.0,4.0,4.0,10.0,2.0,0.0,1.0,2.0,32.0,26.0,0.658,0.63,0.0,14.8,6.8,39.4,2.5,0.0,3.9,27.3,142.0,115.0,29.1,12.7
12,2022-11-11,26-012,ORL,L (-17),@,Devin Booker  ,PHO,1.0,34.46666666666667,6.0,19.0,2.0,8.0,3.0,3.0,3.0,5.0,8.0,6.0,1.0,0.0,2.0,2.0,17.0,-27.0,0.418,0.368,8.0,19.3,12.7,28.2,1.5,0.0,9.0,28.3,97.0,123.0,12.1,-0.8
13,2022-11-14,26-015,MIA,L (-1),@,Devin Booker  ,PHO,1.0,41.56666666666667,11.0,22.0,2.0,7.0,1.0,2.0,2.0,6.0,8.0,5.0,3.0,1.0,2.0,5.0,25.0,-7.0,0.546,0.545,5.1,16.5,10.6,16.4,4.0,2.3,8.0,25.7,127.0,122.0,20.0,5.1
14,2022-11-16,26-017,GSW,W (+11),,Devin Booker  ,PHO,1.0,36.63333333333333,8.0,17.0,2.0,5.0,9.0,9.0,0.0,2.0,2.0,9.0,0.0,3.0,3.0,2.0,27.0,6.0,0.644,0.529,0.0,5.8,3.0,35.2,0.0,7.9,12.5,28.0,131.0,113.0,23.5,5.2
15,2022-11-18,26-019,UTA,L (-1),@,Devin Booker  ,PHO,1.0,41.28333333333333,16.0,31.0,2.0,9.0,15.0,15.0,1.0,7.0,8.0,10.0,1.0,0.0,1.0,3.0,49.0,-4.0,0.652,0.548,3.1,19.9,11.9,38.3,1.1,0.0,2.6,37.3,149.0,129.0,42.3,12.0
16,2022-11-20,26-021,NYK,W (+21),,Devin Booker  ,PHO,1.0,29.516666666666666,7.0,17.0,5.0,8.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,13.0,0.573,0.559,3.2,13.6,8.2,15.4,0.0,0.0,0.0,23.3,140.0,106.0,14.9,6.9
17,2022-11-22,26-023,LAL,W (+10),,Devin Booker  ,PHO,1.0,35.45,10.0,24.0,2.0,6.0,3.0,3.0,1.0,3.0,4.0,5.0,0.0,0.0,4.0,6.0,25.0,4.0,0.494,0.458,2.9,8.5,5.8,19.6,0.0,0.0,13.6,33.3,96.0,103.0,10.9,-5.2
18,2022-11-25,26-026,DET,W (+6),,Devin Booker  ,PHO,1.0,35.7,8.0,17.0,2.0,7.0,3.0,7.0,0.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,21.0,10.0,0.523,0.529,0.0,18.5,10.2,21.5,1.4,2.0,9.1,26.6,106.0,103.0,15.2,2.0
19,2022-11-26,26-027,UTA,W (+1),,Devin Booker  ,PHO,1.0,39.35,8.0,27.0,1.0,7.0,10.0,11.0,4.0,7.0,11.0,7.0,0.0,0.0,2.0,3.0,27.0,-4.0,0.424,0.315,9.8,22.5,15.2,26.5,0.0,0.0,5.9,37.1,108.0,127.0,17.5,-2.6
1,2022-10-19,25-354,DAL,W (+2),,Devin Booker  ,PHO,1.0,40.61666666666667,10.0,20.0,1.0,1.0,7.0,7.0,1.0,3.0,4.0,9.0,0.0,1.0,2.0,3.0,28.0,20.0,0.607,0.525,2.7,9.6,5.9,37.7,0.0,3.0,8.0,27.8,126.0,113.0,23.4,9.1
2,2022-10-21,25-356,POR,L (-2),@,Devin Booker  ,PHO,1.0,43.916666666666664,11.0,23.0,3.0,7.0,8.0,9.0,0.0,5.0,5.0,3.0,1.0,0.0,2.0,1.0,33.0,-2.0,0.612,0.543,0.0,13.4,6.8,12.2,1.2,0.0,6.9,29.3,117.0,114.0,23.1,5.9
3,2022-10-23,25-358,LAC,W (+17),@,Devin Booker  ,PHO,1.0,34.81666666666667,13.0,21.0,5.0,9.0,4.0,4.0,1.0,0.0,1.0,4.0,1.0,0.0,3.0,1.0,35.0,13.0,0.769,0.738,2.9,0.0,1.5,22.0,1.5,0.0,11.6,32.2,136.0,105.0,26.6,15.7
4,2022-10-25,25-360,GSW,W (+29),,Devin Booker  ,PHO,1.0,35.31666666666667,10.0,19.0,3.0,8.0,11.0,14.0,1.0,1.0,2.0,7.0,3.0,0.0,3.0,3.0,34.0,32.0,0.676,0.605,3.1,3.1,3.1,28.5,4.0,0.0,10.7,31.9,136.0,104.0,28.2,13.0
5,2022-10-28,25-363,NOP,W (+13),,Devin Booker  ,PHO,1.0,32.6,6.0,14.0,0.0,4.0,4.0,4.0,0.0,5.0,5.0,4.0,0.0,0.0,5.0,1.0,16.0,4.0,0.508,0.429,0.0,17.5,9.2,15.0,0.0,0.0,24.1,27.1,91.0,121.0,7.5,-11.4
6,2022-10-30,26-000,HOU,W (+15),,Devin Booker  ,PHO,1.0,35.4,14.0,24.0,1.0,7.0,1.0,3.0,1.0,2.0,3.0,6.0,1.0,0.0,1.0,2.0,30.0,11.0,0.592,0.604,3.2,6.3,4.8,31.3,1.4,0.0,3.8,33.0,124.0,122.0,22.7,3.6
7,2022-11-01,26-002,MIN,W (+9),,Devin Booker  ,PHO,1.0,30.433333333333334,6.0,18.0,2.0,7.0,4.0,5.0,1.0,6.0,7.0,5.0,0.0,1.0,2.0,5.0,18.0,11.0,0.446,0.389,4.0,25.6,14.5,25.0,0.0,3.0,9.0,32.5,96.0,112.0,10.1,-6.5
8,2022-11-04,26-005,POR,L (-2),,Devin Booker  ,PHO,1.0,38.36666666666667,8.0,21.0,3.0,7.0,6.0,6.0,0.0,5.0,5.0,5.0,1.0,1.0,5.0,3.0,25.0,3.0,0.529,0.452,0.0,16.9,7.7,24.1,1.3,2.0,17.5,32.8,99.0,115.0,14.0,-1.7
9,2022-11-05,26-006,POR,W (+20),,Devin Booker  ,PHO,1.0,29.166666666666668,9.0,20.0,2.0,7.0,4.0,4.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,24.0,19.0,0.551,0.5,3.8,8.0,5.9,24.5,1.7,5.1,4.4,34.6,116.0,88.0,17.6,9.8
10,2022-11-07,26-008,PHI,L (-12),@,Devin Booker  ,PHO,1.0,43.4,8.0,16.0,1.0,1.0,11.0,14.0,2.0,5.0,7.0,5.0,1.0,0.0,6.0,2.0,28.0,-9.0,0.632,0.531,5.7,12.0,9.1,23.9,1.2,0.0,21.3,32.6,107.0,115.0,19.4,3.3
11,2022-11-09,26-010,MIN,W (+12),@,Devin Booker  ,PHO,1.0,38.166666666666664,12.0,23.0,5.0,7.0,3.0,3.0,0.0,4.0,4.0,10.0,2.0,0.0,1.0,2.0,32.0,26.0,0.658,0.63,0.0,14.8,6.8,39.4,2.5,0.0,3.9,27.3,142.0,115.0,29.1,12.7
12,2022-11-11,26-012,ORL,L (-17),@,Devin Booker  ,PHO,1.0,34.46666666666667,6.0,19.0,2.0,8.0,3.0,3.0,3.0,5.0,8.0,6.0,1.0,0.0,2.0,2.0,17.0,-27.0,0.418,0.368,8.0,19.3,12.7,28.2,1.5,0.0,9.0,28.3,97.0,123.0,12.1,-0.8
13,2022-11-14,26-015,MIA,L (-1),@,Devin Booker  ,PHO,1.0,41.56666666666667,11.0,22.0,2.0,7.0,1.0,2.0,2.0,6.0,8.0,5.0,3.0,1.0,2.0,5.0,25.0,-7.0,0.546,0.545,5.1,16.5,10.6,16.4,4.0,2.3,8.0,25.7,127.0,122.0,20.0,5.1
14,2022-11-16,26-017,GSW,W (+11),,Devin Booker  ,PHO,1.0,36.63333333333333,8.0,17.0,2.0,5.0,9.0,9.0,0.0,2.0,2.0,9.0,0.0,3.0,3.0,2.0,27.0,6.0,0.644,0.529,0.0,5.8,3.0,35.2,0.0,7.9,12.5,28.0,131.0,113.0,23.5,5.2
15,2022-11-18,26-019,UTA,L (-1),@,Devin Booker  ,PHO,1.0,41.28333333333333,16.0,31.0,2.0,9.0,15.0,15.0,1.0,7.0,8.0,10.0,1.0,0.0,1.0,3.0,49.0,-4.0,0.652,0.548,3.1,19.9,11.9,38.3,1.1,0.0,2.6,37.3,149.0,129.0,42.3,12.0
16,2022-11-20,26-021,NYK,W (+21),,Devin Booker  ,PHO,1.0,29.516666666666666,7.0,17.0,5.0,8.0,1.0,1.0,1.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,20.0,13.0,0.573,0.559,3.2,13.6,8.2,15.4,0.0,0.0,0.0,23.3,140.0,106.0,14.9,6.9
17,2022-11-22,26-023,LAL,W (+10),,Devin Booker  ,PHO,1.0,35.45,10.0,24.0,2.0,6.0,3.0,3.0,1.0,3.0,4.0,5.0,0.0,0.0,4.0,6.0,25.0,4.0,0.494,0.458,2.9,8.5,5.8,19.6,0.0,0.0,13.6,33.3,96.0,103.0,10.9,-5.2
18,2022-11-25,26-026,DET,W (+6),,Devin Booker  ,PHO,1.0,35.7,8.0,17.0,2.0,7.0,3.0,7.0,0.0,7.0,7.0,5.0,1.0,1.0,2.0,2.0,21.0,10.0,0.523,0.529,0.0,18.5,10.2,21.5,1.4,2.0,9.1,26.6,106.0,103.0,15.2,2.0
19,2022-11-26,26-027,UTA,W (+1),,Devin Booker  ,PHO,1.0,39.35,8.0,27.0,1.0,7.0,10.0,11.0,4.0,7.0,11.0,7.0,0.0,0.0,2.0,3.0,27.0,-4.0,0.424,0.315,9.8,22.5,15.2,26.5,0.0,0.0,5.9,37.1,108.0,127.0,17.5,-2.6
1,2022-10-24,29-286,MIA,W (+8),@,Chris Boucher  ,TOR,0.0,11.7,4.0,5.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0,10.0,1.0,1.0,1.0,8.5,8.2,8.4,0.0,0.0,8.4,16.7,23.0,139.0,95.0,6.8,10.3
2,2022-10-26,29-288,PHI,W (+10),,Chris Boucher  ,TOR,0.0,17.25,5.0,9.0,2.0,4.0,1.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,13.0,11.0,0.658,0.667,7.7,22.6,15.2,0.0,0.0,0.0,9.2,30.5,112.0,123.0,7.7,-5.4
3,2022-10-28,29-290,PHI,L (-22),,Chris Boucher  ,TOR,0.0,22.083333333333332,3.0,6.0,1.0,2.0,1.0,3.0,0.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,8.0,-8.0,0.546,0.583,0.0,17.6,7.6,8.2,2.3,14.8,12.0,15.9,100.0,109.0,6.7,2.5
4,2022-10-31,29-293,ATL,W (+30),,Chris Boucher  ,TOR,0.0,20.9,4.0,6.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,1.0,11.0,9.0,0.799,0.75,10.9,5.9,8.5,6.2,4.5,4.2,0.0,13.7,177.0,104.0,13.1,7.8
5,2022-11-02,29-295,SAS,W (+43),@,Chris Boucher  ,TOR,0.0,25.366666666666667,7.0,10.0,3.0,5.0,0.0,0.0,2.0,6.0,8.0,2.0,2.0,1.0,1.0,4.0,17.0,22.0,0.85,0.85,9.0,21.0,15.8,8.6,3.4,3.7,9.1,16.8,156.0,87.0,17.5,8.8
6,2022-11-04,29-297,DAL,L (-1),@,Chris Boucher  ,TOR,0.0,29.616666666666667,6.0,13.0,2.0,6.0,3.0,4.0,4.0,5.0,9.0,1.0,0.0,1.0,0.0,4.0,17.0,20.0,0.576,0.538,15.1,25.3,19.4,5.5,0.0,3.8,0.0,20.3,145.0,118.0,14.0,2.7
7,2022-11-06,29-299,CHI,W (+9),,Chris Boucher  ,TOR,0.0,22.183333333333334,4.0,10.0,0.0,2.0,0.0,0.0,6.0,0.0,6.0,1.0,1.0,2.0,3.0,3.0,8.0,-6.0,0.4,0.4,24.0,0.0,13.2,6.1,2.3,8.3,23.1,23.3,88.0,116.0,5.7,-10.6
8,2022-11-07,29-300,CHI,L (-14),@,Chris Boucher  ,TOR,0.0,14.466666666666667,0.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,-10.0,0.0,0.0,0.0,28.4,12.4,0.0,0.0,0.0,20.5,14.9,0.0,114.0,-4.2,-24.0
9,2022-11-09,29-302,HOU,W (+7),,Chris Boucher  ,TOR,0.0,13.383333333333333,0.0,2.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0,3.0,2.0,-10.0,0.347,0.0,6.5,24.5,14.5,0.0,3.7,7.3,0.0,8.3,111.0,105.0,2.7,-6.6
10,2022-11-11,29-304,OKC,L (-19),@,Chris Boucher  ,TOR,0.0,31.15,6.0,9.0,0.0,2.0,8.0,10.0,4.0,8.0,12.0,1.0,2.0,1.0,3.0,1.0,20.0,-7.0,0.746,0.667,14.3,30.8,22.3,5.4,3.0,2.7,18.3,21.1,133.0,123.0,20.5,3.3
11,2022-11-12,29-305,IND,L (-14),@,Chris Boucher  ,TOR,0.0,28.2,6.0,17.0,2.0,8.0,5.0,7.0,4.0,3.0,7.0,0.0,1.0,1.0,1.0,2.0,19.0,-3.0,0.473,0.412,12.2,13.4,12.7,0.0,1.7,4.4,4.7,30.2,107.0,120.0,12.3,-1.8
12,2022-11-14,29-307,DET,W (+4),@,Chris Boucher  ,TOR,0.0,31.216666666666665,7.0,12.0,1.0,3.0,5.0,5.0,1.0,3.0,4.0,1.0,1.0,0.0,1.0,4.0,20.0,-3.0,0.704,0.625,3.8,11.3,7.6,5.3,1.6,0.0,6.6,21.0,140.0,114.0,15.1,0.2
13,2022-11-16,29-309,MIA,W (+8),,Chris Boucher  ,TOR,0.0,25.0,4.0,7.0,1.0,3.0,6.0,9.0,2.0,8.0,10.0,1.0,1.0,0.0,1.0,3.0,15.0,7.0,0.684,0.643,11.0,51.2,29.5,5.3,2.1,0.0,8.4,20.9,144.0,110.0,13.8,6.6
14,2022-11-23,29-316,BRK,L (-14),,Chris Boucher  ,TOR,0.0,28.85,2.0,15.0,0.0,3.0,8.0,8.0,8.0,8.0,16.0,0.0,1.0,1.0,0.0,0.0,12.0,0.0,0.324,0.133,24.2,37.0,29.3,0.0,1.7,3.8,0.0,24.7,104.0,114.0,12.0,-3.6
15,2022-11-26,29-319,DAL,W (+5),,Chris Boucher  ,TOR,0.0,36.06666666666667,10.0,19.0,0.0,3.0,2.0,5.0,5.0,8.0,13.0,0.0,1.0,0.0,0.0,1.0,22.0,6.0,0.519,0.526,14.2,30.4,21.1,0.0,1.4,0.0,0.0,25.1,121.0,109.0,18.0,1.9
1,2022-10-19,22-031,SAS,W (+27),@,James Bouknight  ,CHO,0.0,14.433333333333334,0.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.0,0.0,0.0,0.0,13.0,7.0,6.9,0.0,0.0,0.0,14.0,18.0,104.0,-2.6,-19.9
2,2022-10-21,22-033,NOP,L (-12),,James Bouknight  ,CHO,0.0,13.15,0.0,5.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,17.8,8.1,0.0,0.0,0.0,16.7,18.9,0.0,126.0,-3.9,-26.4
3,2022-10-23,22-035,ATL,W (+17),@,James Bouknight  ,CHO,0.0,17.666666666666668,3.0,9.0,2.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,4.0,10.0,20.0,0.506,0.444,0.0,5.0,2.8,14.0,2.7,0.0,0.0,23.1,124.0,111.0,6.0,-2.1
4,2022-10-26,22-038,NYK,L (-3),@,James Bouknight  ,CHO,0.0,17.166666666666668,5.0,9.0,2.0,5.0,1.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,1.0,2.0,13.0,9.0,0.658,0.667,0.0,13.7,7.0,27.6,2.8,0.0,9.2,26.4,124.0,119.0,10.2,6.7
5,2022-10-28,22-040,ORL,L (-20),@,James Bouknight  ,CHO,0.0,26.15,4.0,11.0,3.0,7.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,11.0,-7.0,0.463,0.5,0.0,13.1,5.8,0.0,0.0,0.0,20.2,24.7,67.0,115.0,1.2,-10.6
6,2022-10-29,22-041,GSW,W (+7),,James Bouknight  ,CHO,0.0,14.733333333333333,0.0,5.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,7.2,3.5,8.4,0.0,0.0,0.0,14.3,14.0,111.0,-2.9,-18.6
7,2022-10-31,22-043,SAC,L (-7),,James Bouknight  ,CHO,0.0,16.433333333333334,2.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,6.0,12.0,0.75,0.75,0.0,13.9,7.3,7.9,0.0,0.0,33.3,15.9,89.0,119.0,2.5,-6.6
8,2022-11-02,22-045,CHI,L (-18),@,James Bouknight  ,CHO,0.0,20.783333333333335,2.0,7.0,1.0,5.0,2.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,7.0,-8.0,0.444,0.357,0.0,15.4,7.1,0.0,0.0,4.1,0.0,15.8,98.0,111.0,4.1,-5.6
9,2022-11-04,22-047,MEM,L (-31),@,James Bouknight  ,CHO,0.0,27.633333333333333,7.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,1.0,0.0,1.0,2.0,14.0,0.0,0.7,0.7,6.4,7.4,6.9,41.7,1.7,0.0,9.1,16.2,137.0,129.0,14.5,4.4
10,2022-11-05,22-048,BRK,L (-4),,James Bouknight  ,CHO,0.0,28.883333333333333,1.0,9.0,0.0,4.0,1.0,2.0,1.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,3.0,0.0,0.152,0.111,3.7,14.5,9.1,27.4,1.8,6.9,28.8,20.8,48.0,100.0,0.1,-9.1
11,2022-11-07,22-050,WAS,L (-8),,James Bouknight  ,CHO,0.0,20.4,3.0,7.0,0.0,3.0,1.0,2.0,1.0,5.0,6.0,3.0,0.0,0.0,1.0,3.0,7.0,-5.0,0.444,0.429,4.4,31.0,15.3,20.2,0.0,0.0,11.3,17.7,98.0,114.0,5.0,-5.7
12,2022-11-09,22-052,POR,L (-10),,James Bouknight  ,CHO,0.0,17.083333333333332,2.0,5.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,7.0,-11.0,0.595,0.5,0.0,0.0,0.0,0.0,6.2,0.0,14.5,17.2,108.0,110.0,4.5,-0.8
13,2022-11-10,22-053,MIA,L (-5),@,James Bouknight  ,CHO,0.0,17.166666666666668,0.0,5.0,0.0,4.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,-12.0,0.085,0.0,0.0,18.5,10.5,0.0,0.0,0.0,14.5,18.2,17.0,113.0,-3.8,-20.3
14,2022-11-12,22-055,MIA,L (-17),@,James Bouknight  ,CHO,0.0,14.1,4.0,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,-3.0,0.75,0.75,0.0,0.0,0.0,0.0,0.0,6.5,0.0,18.7,137.0,128.0,6.7,3.7
15,2022-11-14,22-057,ORL,W (+7),@,James Bouknight  ,CHO,0.0,3.7333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,130.0,-0.7,-21.1
16,2022-11-16,22-059,IND,L (-12),,James Bouknight  ,CHO,0.0,6.333333333333333,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,0.333,0.333,0.0,20.5,9.7,21.4,0.0,0.0,0.0,19.1,95.0,131.0,1.3,-7.9
17,2022-11-18,22-061,CLE,L (-10),@,James Bouknight  ,CHO,0.0,12.133333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0.0,-5.0,0.0,0.0,0.0,22.2,9.3,10.9,0.0,0.0,100.0,3.6,41.0,119.0,-0.9,-12.3
18,2022-11-25,22-068,MIN,W (+2),,James Bouknight  ,CHO,0.0,14.983333333333333,3.0,5.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,8.0,6.0,0.8,0.8,0.0,12.6,6.4,21.1,3.1,0.0,28.6,18.7,111.0,101.0,6.3,6.9
