G,Date,Age,Opp,W/L,At,Name,Tm,GS,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc_y,BPM
6,2022-10-29,29-101,UTA,L (-1),@,Steven Adams  ,MEM,1.0,19.216666666666665,1.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,1.0,1.0,1.0,4.0,4.0,2.0,11.0,0.5,0.5,36.7,31.2,33.8,5.3,2.4,5.8,66.7,13.1,81.0,115.0,2.8,-9.2
7,2022-10-31,29-103,UTA,L (-16),@,Steven Adams  ,MEM,1.0,18.516666666666666,1.0,4.0,0.0,0.0,0.0,1.0,2.0,7.0,9.0,1.0,1.0,1.0,4.0,1.0,2.0,-11.0,0.225,0.25,9.4,40.3,23.3,7.3,2.5,6.2,47.4,17.3,40.0,106.0,0.7,-11.1
8,2022-11-02,29-105,POR,W (+5),@,Steven Adams  ,MEM,1.0,33.61666666666667,6.0,9.0,0.0,0.0,2.0,3.0,4.0,7.0,11.0,5.0,0.0,2.0,1.0,2.0,14.0,-6.0,0.678,0.667,14.3,19.2,17.1,24.3,0.0,5.1,8.8,14.8,147.0,106.0,17.7,7.1
9,2022-11-04,29-107,CHO,W (+31),,Steven Adams  ,MEM,1.0,21.733333333333334,6.0,10.0,0.0,0.0,1.0,2.0,11.0,8.0,19.0,4.0,2.0,2.0,2.0,2.0,13.0,31.0,0.597,0.6,51.7,32.7,41.5,24.0,4.3,7.5,15.5,23.0,140.0,80.0,21.5,13.7
10,2022-11-06,29-109,WAS,W (+6),,Steven Adams  ,MEM,1.0,22.183333333333334,2.0,2.0,0.0,0.0,0.0,0.0,5.0,5.0,10.0,1.0,0.0,0.0,1.0,3.0,4.0,9.0,1.0,1.0,23.5,20.4,21.9,6.2,0.0,0.0,33.3,5.9,159.0,105.0,6.9,-1.3
11,2022-11-09,29-112,SAS,W (+2),@,Steven Adams  ,MEM,1.0,37.43333333333333,3.0,4.0,0.0,0.0,1.0,2.0,10.0,9.0,19.0,2.0,1.0,1.0,6.0,3.0,7.0,5.0,0.717,0.75,32.2,26.5,29.2,6.2,1.4,2.3,55.1,12.6,97.0,113.0,10.6,-3.3
12,2022-11-11,29-114,MIN,W (+11),,Steven Adams  ,MEM,1.0,26.85,1.0,3.0,0.0,0.0,1.0,4.0,5.0,4.0,9.0,3.0,1.0,1.0,1.0,4.0,3.0,6.0,0.315,0.333,21.8,18.8,20.4,12.7,1.9,3.6,17.4,9.1,108.0,107.0,6.0,-2.0
13,2022-11-13,29-116,WAS,L (-10),@,Steven Adams  ,MEM,1.0,29.383333333333333,6.0,8.0,0.0,0.0,0.0,0.0,6.0,4.0,10.0,6.0,1.0,0.0,3.0,5.0,12.0,4.0,0.75,0.75,18.8,14.2,16.7,34.8,1.6,0.0,27.3,15.4,129.0,104.0,14.4,6.6
14,2022-11-15,29-118,NOP,L (-11),@,Steven Adams  ,MEM,1.0,12.816666666666666,1.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,1.0,0.0,0.0,2.0,3.0,2.0,-2.0,0.347,0.5,15.0,25.5,19.9,10.9,0.0,0.0,41.0,16.0,65.0,120.0,0.0,-14.0
15,2022-11-18,29-121,OKC,W (+11),,Steven Adams  ,MEM,1.0,25.3,3.0,3.0,0.0,0.0,0.0,4.0,3.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,6.0,15.0,0.63,1.0,10.9,15.8,13.3,0.0,0.0,0.0,29.6,10.5,86.0,113.0,4.4,-7.5
16,2022-11-20,29-123,BRK,L (-12),@,Steven Adams  ,MEM,1.0,28.633333333333333,7.0,10.0,0.0,0.0,1.0,8.0,4.0,6.0,10.0,2.0,3.0,0.0,5.0,2.0,15.0,3.0,0.555,0.7,12.7,27.9,18.8,10.7,4.8,0.0,27.0,25.3,85.0,116.0,11.2,-4.7
17,2022-11-22,29-125,SAC,L (-4),,Steven Adams  ,MEM,1.0,30.183333333333334,2.0,5.0,0.0,0.0,1.0,4.0,5.0,11.0,16.0,0.0,0.0,1.0,3.0,3.0,5.0,1.0,0.37,0.4,16.2,38.9,27.1,0.0,0.0,3.5,30.7,12.7,73.0,106.0,4.4,-9.9
18,2022-11-25,29-128,NOP,W (+21),,Steven Adams  ,MEM,1.0,25.033333333333335,7.0,10.0,0.0,0.0,1.0,2.0,4.0,7.0,11.0,1.0,1.0,0.0,2.0,1.0,15.0,26.0,0.689,0.7,17.8,30.5,24.2,5.7,1.9,0.0,15.5,21.1,129.0,105.0,14.6,3.3
