,teams,week,score,Mean_Opponent,normalized score,3_week_rolling_mean,Margin,Won?,Cumul_wins
62,Siakam Deez  Nuts,7,748.0,733.0,15.0,-23.0,8.0,1,5
63,Siakam Deez  Nuts,8,755.0,699.5714285714286,55.428571428571445,35.04761904761904,24.0,1,6
64,Siakam Deez  Nuts,9,736.0,725.5714285714286,10.428571428571445,26.952380952380963,98.0,1,7
65,Siakam Deez  Nuts,10,896.0,803.1428571428571,92.85714285714289,52.904761904761926,126.0,1,8
66,St. Joan of Arc CYO Team,0,546.0,714.5714285714286,-168.57142857142856,,61.0,1,1
67,St. Joan of Arc CYO Team,1,739.0,809.8571428571429,-70.85714285714289,,-102.0,0,1
68,St. Joan of Arc CYO Team,2,582.0,716.5714285714286,-134.57142857142856,-124.66666666666667,-145.0,0,1
69,St. Joan of Arc CYO Team,3,858.0,811.4285714285714,46.571428571428555,-52.95238095238096,104.0,1,2
70,St. Joan of Arc CYO Team,4,480.0,684.7142857142857,-204.71428571428567,-97.57142857142856,-214.0,0,2
71,St. Joan of Arc CYO Team,5,564.0,777.5714285714286,-213.57142857142856,-123.90476190476188,-363.0,0,2
72,St. Joan of Arc CYO Team,6,1011.0,784.2857142857143,226.71428571428567,-63.857142857142854,42.0,1,3
73,St. Joan of Arc CYO Team,7,748.0,733.0,15.0,9.38095238095237,20.0,1,4
74,St. Joan of Arc CYO Team,8,810.0,691.7142857142857,118.28571428571433,120.0,164.0,1,5
75,St. Joan of Arc CYO Team,9,638.0,739.5714285714286,-101.57142857142856,10.571428571428592,-98.0,0,5
76,St. Joan of Arc CYO Team,10,968.0,792.8571428571429,175.1428571428571,63.95238095238096,134.0,1,6
77,The Return of Bob Bill,0,750.0,685.4285714285714,64.57142857142856,,-55.0,0,0
78,The Return of Bob Bill,1,836.0,796.0,40.0,,170.0,1,1
79,The Return of Bob Bill,2,718.0,697.1428571428571,20.85714285714289,41.80952380952382,-82.0,0,1
80,The Return of Bob Bill,3,754.0,826.2857142857143,-72.28571428571433,-3.809523809523815,-104.0,0,1
81,The Return of Bob Bill,4,605.0,666.8571428571429,-61.85714285714289,-37.76190476190478,-152.0,0,1
82,The Return of Bob Bill,5,843.0,737.7142857142857,105.28571428571433,-9.61904761904763,-53.0,0,1
83,The Return of Bob Bill,6,607.0,842.0,-235.0,-63.857142857142854,27.0,1,2
84,The Return of Bob Bill,7,740.0,734.1428571428571,5.85714285714289,-41.285714285714256,-8.0,0,2
85,The Return of Bob Bill,8,501.0,735.8571428571429,-234.8571428571429,-154.66666666666666,-189.0,0,2
86,The Return of Bob Bill,9,835.0,711.4285714285714,123.57142857142856,-35.142857142857146,174.0,1,3
87,The Return of Bob Bill,10,834.0,812.0,22.0,-29.761904761904777,-134.0,0,3
